"Energy, MeV",RDC
0.025,0.035
0.03,0.19
0.035,0.579
0.04,1.32
0.045,2.38
0.05,3.51
0.055,4.63
0.06,5.69
0.07,7.51
0.08,8.97
0.09,10.1
0.1,11
0.2,12.8
0.3,11.2
0.4,9.78
0.6,6.27
0.8,4.61
1,3.65
1.2,3.03
1.3,2.81
1.4,2.61
1.6,2.31
1.8,2.07
2,1.89
2.2,1.74
2.4,1.63
2.6,1.53
2.8,1.44
3,1.37
3.2,1.29
3.4,1.23
3.6,1.17
3.8,1.12
4,1.07
4.2,1.03
4.4,0.987
4.6,0.943
4.8,0.912
5.2,0.853
5.6,0.788
6,0.721
6.4,0.697
6.8,0.651
7.2,0.626
7.6,0.595
8,0.576
9,0.525
10,0.486
11,0.458
12,0.44
13,0.425
14,0.41
15,0.4
16,0.392
18,0.373
20,0.363
22,0.353
24,0.345
26,0.34
28,0.335
30,0.33
34,0.32
38,0.315
42,0.31
46,0.305
50,0.3
55,0.295
60,0.293
65,0.29
70,0.285
80,0.283
90,0.277
100,0.276
