,"Energy, MeV",RDC
0,0.001,5.143884897916646e-11
1,0.0011231386246882782,1.0940549829263189e-10
2,0.0012614403702666769,2.326950018167578e-10
3,0.001416772402587588,4.949199511497278e-10
4,0.001591231807738531,1.0526472684571799e-09
5,0.0017871739041036964,2.238879780894385e-09
6,0.002007244040733806,4.761882563609762e-09
7,0.0022544133113235093,1.0128067501932732e-08
8,0.0025320186659588332,2.1541428196403576e-08
9,0.002843807962170053,4.581655174121424e-08
10,0.0031939905635092482,9.744741130051075e-08
11,0.0035872941687671157,2.0726129768139667e-07
12,0.004029028639061378,4.408249017934799e-07
13,0.004525157684505081,9.375922867179541e-07
14,0.005082379378272631,1.9941688696271495e-06
15,0.005708216585057189,4.241405925501486e-06
16,0.0064111185247639505,9.02106361144963e-06
17,0.007200574842616926,1.9186937093788935e-05
18,0.00808724372570179,4.0808774984555967e-05
19,0.009083095795603615,8.679635043360931e-05
20,0.01020157571978612,0.00018460751275785572
21,0.011457783723573915,0.00039264247397947683
22,0.012868679453270545,0.0008351128839211537
23,0.014453310942700583,0.0017762050086500825
24,0.016233071774376773,0.0037778176980580573
25,0.018231989907139638,0.008035055914298633
26,0.02047705206963538,0.017089793289679578
27,0.02299856809916054,0.03634835124970887
28,0.02583058014469088,0.06074798448541724
29,0.02901132225860846,0.1593509900168623
30,0.032583736581921936,0.3910147060735265
31,0.03659605309182494,0.8155350682084557
32,0.04110244073857147,1.553717436577152
33,0.04616373876245062,2.64300496031384
34,0.05184827806412775,3.9240142863646152
35,0.05823280371739986,5.315354388088771
36,0.06540351107890292,6.673439016360332
37,0.0734572094829436,8.014752584509765
38,0.08250262923211202,9.252797103228659
39,0.09266188952892122,10.33957005760291
40,0.1040721471665297,11.073298648997534
41,0.11688744823697225,11.3039740682655
42,0.1312808078561953,11.563054541411516
43,0.14744654598357332,11.85403782770432
44,0.1656029108710275,12.180852395678496
45,0.18599502556006134,12.547910460081106
46,0.20889819720638844,12.657628844697786
47,0.23462163391024382,12.246053857436099
48,0.2635126192320679,11.783798092286913
49,0.2959612007523107,11.264620787963029
50,0.33240545597404164,10.739842525168608
51,0.3733374066615651,10.158608825405775
52,0.41930966146255866,9.441115441332094
53,0.47094287649356564,8.534952517537922
54,0.5289341346117249,7.517205937564228
55,0.5940663564984974,6.374135443451371
56,0.6672188706112987,5.7120833739262205
57,0.7493792847044402,5.030151936953147
58,0.8416568191928306,4.410047267874413
59,0.9452972823677466,3.9125730446348164
60,1.0616998896400778,3.458730342115759
61,1.1924361538820536,3.0534479229656335
62,1.33927110189967,2.7314577962006603
63,1.50418710347235,2.453719344791475
64,1.68941063466778,2.202707238398664
65,1.8974423367545215,1.9823018969209305
66,2.131090776527786,1.7916819176041605
67,2.393510363835292,1.633569299890589
68,2.6882439382151104,1.4902902278032002
69,3.01927059959352,1.3622917601625921
70,3.391059428789219,1.2326821713632343
71,3.8086298230865414,1.1178425442283646
72,4.277619261448178,1.0133118587886418
73,4.804359414242995,0.9113569863991582
74,5.39596162502106,0.8211562359340778
75,6.060412918396879,0.7173752248961872
76,6.806683830211345,0.650582260611791
77,7.6448495157515115,0.5928696480018032
78,8.586225771070001,0.54610248567543
79,9.643521803782612,0.49990264965247816
80,10.831011815851816,0.46273166915614916
81,12.16472771483831,0.4375290842774253
82,13.662675555350868,0.415059866669737
83,15.345078632798947,0.39723937093760847
84,17.234650511375275,0.3802708201419349
85,19.356901672329176,0.3662154916383541
86,21.740483922486,0.35429758038757
87,24.417577212758573,0.34395605696810355
88,27.424324088957476,0.33643918977760634
89,30.80131764027735,0.32799670589930663
90,34.594149533087865,0.3192573130836402
91,38.854025528852986,0.31393246808893377
92,43.63845679607915,0.30795192900490104
93,49.01203634946723,0.30123495456316596
94,55.04731109871247,0.294981075560515
95,61.82576128019578,0.29190454323188253
96,69.43890049454481,0.28556109950545516
97,77.98951120130934,0.2834020977597381
98,87.59303235074954,0.2784441805895503
99,98.3791178866968,0.27616208821133037
100,110.49338716131052,0.2728022068196688
101,124.09939089350388,0.2696825643665879
102,139.38081921278282,0.2665985967313486
103,156.5439815985706,0.2635498959528953
104,175.82059219584553,0.2605360587354303
105,197.47089811072078,0.2575566863950639
106,221.78719292003382,0.2546113848070749
107,249.09776282968085,0.2516997643537736
108,279.77131875745437,0.24882143987296204
109,314.2219741764735,0.24597603060698228
110,352.9148359233997,0.24316316015234882
111,396.3722834510969,0.24038245640995556
112,445.1810212998169,0.23763355153585364
113,499.99999999999994,0.2349160818925905
